<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,1,20200826,121700,126490.0000000,126510.0000000,126450.0000000,126470.0000000,341
SPFB.RTS,1,20200826,121800,126460.0000000,126530.0000000,126460.0000000,126520.0000000,229
SPFB.RTS,1,20200826,121900,126510.0000000,126560.0000000,126450.0000000,126480.0000000,406
SPFB.RTS,1,20200826,122000,126470.0000000,126550.0000000,126470.0000000,126530.0000000,509
SPFB.RTS,1,20200826,122100,126530.0000000,126590.0000000,126490.0000000,126490.0000000,568
SPFB.RTS,1,20200826,122200,126500.0000000,126560.0000000,126420.0000000,126440.0000000,690
SPFB.RTS,1,20200826,122300,126430.0000000,126520.0000000,126420.0000000,126510.0000000,456
SPFB.RTS,1,20200826,122400,126510.0000000,126580.0000000,126510.0000000,126550.0000000,408
SPFB.RTS,1,20200826,122500,126550.0000000,126660.0000000,126550.0000000,126640.0000000,858
SPFB.RTS,1,20200826,122600,126640.0000000,126670.0000000,126590.0000000,126630.0000000,415
SPFB.RTS,1,20200826,122700,126620.0000000,126670.0000000,126620.0000000,126650.0000000,346
SPFB.RTS,1,20200826,122800,126660.0000000,126670.0000000,126600.0000000,126640.0000000,177
SPFB.RTS,1,20200826,122900,126650.0000000,126650.0000000,126550.0000000,126560.0000000,416
SPFB.RTS,1,20200826,123000,126560.0000000,126620.0000000,126560.0000000,126620.0000000,304
SPFB.RTS,1,20200826,123100,126620.0000000,126620.0000000,126520.0000000,126520.0000000,516
SPFB.RTS,1,20200826,123200,126520.0000000,126540.0000000,126490.0000000,126510.0000000,421
SPFB.RTS,1,20200826,123300,126510.0000000,126520.0000000,126440.0000000,126480.0000000,641
SPFB.RTS,1,20200826,123400,126470.0000000,126480.0000000,126430.0000000,126460.0000000,287
SPFB.RTS,1,20200826,123500,126450.0000000,126530.0000000,126440.0000000,126480.0000000,425
SPFB.RTS,1,20200826,123600,126480.0000000,126490.0000000,126300.0000000,126300.0000000,1283
SPFB.RTS,1,20200826,123700,126300.0000000,126370.0000000,126300.0000000,126360.0000000,418
SPFB.RTS,1,20200826,123800,126350.0000000,126350.0000000,126230.0000000,126280.0000000,1327
SPFB.RTS,1,20200826,123900,126260.0000000,126270.0000000,126180.0000000,126240.0000000,731
SPFB.RTS,1,20200826,124000,126250.0000000,126250.0000000,126160.0000000,126220.0000000,866
SPFB.RTS,1,20200826,124100,126210.0000000,126220.0000000,126130.0000000,126160.0000000,560
SPFB.RTS,1,20200826,124200,126170.0000000,126170.0000000,126050.0000000,126140.0000000,1596
SPFB.RTS,1,20200826,124300,126140.0000000,126140.0000000,126050.0000000,126060.0000000,510
SPFB.RTS,1,20200826,124400,126080.0000000,126110.0000000,126060.0000000,126100.0000000,711
SPFB.RTS,1,20200826,124500,126100.0000000,126110.0000000,126020.0000000,126070.0000000,751
SPFB.RTS,1,20200826,124600,126060.0000000,126070.0000000,125980.0000000,126000.0000000,708
SPFB.RTS,1,20200826,124700,126000.0000000,126050.0000000,125970.0000000,126050.0000000,525
SPFB.RTS,1,20200826,124800,126050.0000000,126100.0000000,126040.0000000,126080.0000000,667
SPFB.RTS,1,20200826,124900,126080.0000000,126100.0000000,126050.0000000,126070.0000000,479
SPFB.RTS,1,20200826,125000,126080.0000000,126160.0000000,126030.0000000,126140.0000000,957
SPFB.RTS,1,20200826,125100,126150.0000000,126240.0000000,126140.0000000,126170.0000000,869
SPFB.RTS,1,20200826,125200,126170.0000000,126170.0000000,126100.0000000,126140.0000000,445
SPFB.RTS,1,20200826,125300,126150.0000000,126150.0000000,125990.0000000,126120.0000000,1225
SPFB.RTS,1,20200826,125400,126120.0000000,126130.0000000,126040.0000000,126050.0000000,403
SPFB.RTS,1,20200826,125500,126040.0000000,126060.0000000,125930.0000000,125970.0000000,1481
SPFB.RTS,1,20200826,125600,125970.0000000,126030.0000000,125960.0000000,126000.0000000,679
SPFB.RTS,1,20200826,125700,126010.0000000,126030.0000000,125970.0000000,125990.0000000,455
SPFB.RTS,1,20200826,125800,125980.0000000,126030.0000000,125930.0000000,126000.0000000,735
SPFB.RTS,1,20200826,125900,125990.0000000,126090.0000000,125990.0000000,126050.0000000,929
SPFB.RTS,1,20200826,130000,126050.0000000,126140.0000000,126010.0000000,126040.0000000,1024
SPFB.RTS,1,20200826,130100,126050.0000000,126090.0000000,126020.0000000,126060.0000000,348
SPFB.RTS,1,20200826,130200,126060.0000000,126060.0000000,125970.0000000,126000.0000000,643
SPFB.RTS,1,20200826,130300,125990.0000000,126010.0000000,125930.0000000,125950.0000000,699
SPFB.RTS,1,20200826,130400,125960.0000000,126000.0000000,125910.0000000,125960.0000000,854
SPFB.RTS,1,20200826,130500,125950.0000000,125970.0000000,125840.0000000,125870.0000000,1264
SPFB.RTS,1,20200826,130600,125860.0000000,125930.0000000,125860.0000000,125890.0000000,589
SPFB.RTS,1,20200826,130700,125900.0000000,125900.0000000,125840.0000000,125840.0000000,268
SPFB.RTS,1,20200826,130800,125830.0000000,125930.0000000,125820.0000000,125910.0000000,701
SPFB.RTS,1,20200826,130900,125910.0000000,125920.0000000,125860.0000000,125890.0000000,300
SPFB.RTS,1,20200826,131000,125880.0000000,125900.0000000,125810.0000000,125830.0000000,782
SPFB.RTS,1,20200826,131100,125820.0000000,125820.0000000,125750.0000000,125780.0000000,811
SPFB.RTS,1,20200826,131200,125780.0000000,125830.0000000,125750.0000000,125810.0000000,689
SPFB.RTS,1,20200826,131300,125820.0000000,125900.0000000,125820.0000000,125880.0000000,816
SPFB.RTS,1,20200826,131400,125890.0000000,125930.0000000,125880.0000000,125900.0000000,615
SPFB.RTS,1,20200826,131500,125910.0000000,125920.0000000,125840.0000000,125920.0000000,452
SPFB.RTS,1,20200826,131600,125910.0000000,125980.0000000,125910.0000000,125940.0000000,809
SPFB.RTS,1,20200826,131700,125930.0000000,125930.0000000,125860.0000000,125880.0000000,451
SPFB.RTS,1,20200826,131800,125880.0000000,125930.0000000,125870.0000000,125920.0000000,372
SPFB.RTS,1,20200826,131900,125920.0000000,125980.0000000,125900.0000000,125970.0000000,424
SPFB.RTS,1,20200826,132000,125970.0000000,125970.0000000,125860.0000000,125880.0000000,496
SPFB.RTS,1,20200826,132100,125880.0000000,125880.0000000,125810.0000000,125830.0000000,507
SPFB.RTS,1,20200826,132200,125830.0000000,125910.0000000,125830.0000000,125870.0000000,316
SPFB.RTS,1,20200826,132300,125860.0000000,125930.0000000,125860.0000000,125900.0000000,269
SPFB.RTS,1,20200826,132400,125900.0000000,125940.0000000,125900.0000000,125930.0000000,229
SPFB.RTS,1,20200826,132500,125930.0000000,125960.0000000,125890.0000000,125930.0000000,696
SPFB.RTS,1,20200826,132600,125940.0000000,125960.0000000,125890.0000000,125900.0000000,267
SPFB.RTS,1,20200826,132700,125880.0000000,125900.0000000,125850.0000000,125850.0000000,285
SPFB.RTS,1,20200826,132800,125870.0000000,125940.0000000,125850.0000000,125900.0000000,301
SPFB.RTS,1,20200826,132900,125900.0000000,125920.0000000,125870.0000000,125910.0000000,141
SPFB.RTS,1,20200826,133000,125900.0000000,125900.0000000,125830.0000000,125860.0000000,342
SPFB.RTS,1,20200826,133100,125880.0000000,125930.0000000,125870.0000000,125920.0000000,299
SPFB.RTS,1,20200826,133200,125920.0000000,125930.0000000,125790.0000000,125870.0000000,747
SPFB.RTS,1,20200826,133300,125880.0000000,125880.0000000,125820.0000000,125860.0000000,230
SPFB.RTS,1,20200826,133400,125860.0000000,125910.0000000,125860.0000000,125900.0000000,150
SPFB.RTS,1,20200826,133500,125910.0000000,125940.0000000,125870.0000000,125890.0000000,417
SPFB.RTS,1,20200826,133600,125900.0000000,125980.0000000,125880.0000000,125940.0000000,926
SPFB.RTS,1,20200826,133700,125940.0000000,125980.0000000,125920.0000000,125930.0000000,458
SPFB.RTS,1,20200826,133800,125930.0000000,126010.0000000,125930.0000000,125960.0000000,962
SPFB.RTS,1,20200826,133900,125950.0000000,126020.0000000,125950.0000000,126000.0000000,1908
SPFB.RTS,1,20200826,134000,126000.0000000,126060.0000000,125990.0000000,126050.0000000,1883
SPFB.RTS,1,20200826,134100,126050.0000000,126100.0000000,126050.0000000,126060.0000000,1074
SPFB.RTS,1,20200826,134200,126080.0000000,126120.0000000,126060.0000000,126110.0000000,691
